app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,0.275892857138655
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,0.275892857138655
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,12.037302142857506
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,24.074604285713527
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,12.037302142857506
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,27.445048885712215
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,9.161473333333724
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,9.161473333333724
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,9.161473333333724
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,9.161473333333724
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,9.161473333333724
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,9.161473333333724
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,9.161473333333724
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,9.161473333333724
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,0.698928571431422
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,0.698928571431422
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,15.027460000000461
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,60.10984000000059
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,15.027460000000461
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,68.5681532000021
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,22.991213333332894
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,22.991213333332894
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,22.991213333332894
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,22.991213333332894
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,22.991213333332894
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,22.991213333332894
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,22.991213333332894
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,22.991213333332894
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,0.1747321428600335
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,0.1747321428600335
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,15.104130714286182
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,15.10413071428618
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,15.104130714286182
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,17.2187090142848
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,5.747803333332804
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,5.747803333332804
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,5.747803333332804
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,5.747803333332804
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,5.747803333332804
LowResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,5.747803333332804
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,5.747803333332804
LowResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,5.747803333332804
TwoDCNSApps,Router_Proxy,cloud ,dcns_1,user_interface_1,0.275892857138655
TwoDCNSApps,Router_Proxy,cloud ,dcns_0,user_interface,0.275892857138655
TwoDCNSApps,Router_Proxy,proxy-server ,dcns_1,object_tracker_1,12.037302142857879
