app_class,scenario,device,app,vm,energy
TwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.231092857147424
TwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,0.9887999999991007
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,12.879913292857475
TwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,24.917215435715004
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,12.879913292857475
TwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,28.28766003571372
TwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,9.848583833333596
TwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,9.848583833333596
TwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,9.848583833333596
TwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,9.848583833333596
TwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,9.848583833333596
TwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,9.848583833333596
TwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,9.848583833333596
TwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,9.848583833333596
HighResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,4.456368571428941
HighResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,2.504959999998003
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,16.07938220000044
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,61.1617622
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,16.07938220000044
HighResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,69.62007540000151
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-1 ,dcns_0,motion_detector,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-2 ,dcns_0,motion_detector,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_1,motion_detector_1,23.853383833334103
HighResTwoDCNSApps,Router_Only,m-0-3 ,dcns_0,motion_detector,23.853383833334103
LowResTwoDCNSApps,Router_Only,cloud ,dcns_1,user_interface_1,5.8108921428531275
LowResTwoDCNSApps,Router_Only,cloud ,dcns_0,user_interface,0.6262400000061753
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_tracker_1,16.161419864286152
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_1,object_detector_1,16.161419864286156
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_tracker,16.161419864286152
LowResTwoDCNSApps,Router_Only,d-0 ,dcns_0,object_detector,18.275998164284786
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_1,motion_detector_1,6.609973833334174
LowResTwoDCNSApps,Router_Only,m-0-0 ,dcns_0,motion_detector,6.609973833334174
LowResTwoDCNSApps,Router_Only,m-0-1 ,dcns_1,motion_detector_1,6.609973833334174
