app_class,scenario,device_id,device,tuple,energy,app
HighResTwoDCNSApps,Router_Proxy,5,proxy-server,PTZ_PARAMS_1,0.0821274999981808,dcns_1
HighResTwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,4.495399999997018,dcns_1
HighResTwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT,5.014099999996978,dcns_0
HighResTwoDCNSApps,Router_Proxy,6,d-0,MOTION_VIDEO_STREAM_1,95.22239999993698,dcns_1
HighResTwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS_1,3.1436363636335045,dcns_1
HighResTwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
HighResTwoDCNSApps,Router_Proxy,6,d-0,DETECTED_OBJECT,5.230018181815026,dcns_0
HighResTwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,2.743561375492409,dcns_1
HighResTwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM,3.055329713616521,dcns_0
HighResTwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM_1,2.743561375492409,dcns_1
HighResTwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM,3.055329713616521,dcns_0
HighResTwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM_1,2.743561375492409,dcns_1
HighResTwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM,3.055329713616521,dcns_0
HighResTwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM_1,2.743561375492409,dcns_1
HighResTwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM,3.055329713616521,dcns_0
LowResTwoDCNSApps,Router_Proxy,5,proxy-server,PTZ_PARAMS_1,0.0821274999981808,dcns_1
LowResTwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT_1,2.377374999997838,dcns_1
LowResTwoDCNSApps,Router_Proxy,5,proxy-server,DETECTED_OBJECT,2.507049999997842,dcns_0
LowResTwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS_1,6.287272727267009,dcns_1
LowResTwoDCNSApps,Router_Proxy,6,d-0,DETECTED_OBJECT_1,2.4797499999977464,dcns_1
LowResTwoDCNSApps,Router_Proxy,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
LowResTwoDCNSApps,Router_Proxy,6,d-0,DETECTED_OBJECT,2.615009090906843,dcns_0
LowResTwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM_1,2.807682596606072,dcns_1
LowResTwoDCNSApps,Router_Proxy,7,m-0-0,MOTION_VIDEO_STREAM,2.928119383591896,dcns_0
LowResTwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM_1,2.807682596606072,dcns_1
LowResTwoDCNSApps,Router_Proxy,8,m-0-1,MOTION_VIDEO_STREAM,2.928119383591896,dcns_0
LowResTwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM_1,2.807682596606072,dcns_1
LowResTwoDCNSApps,Router_Proxy,9,m-0-2,MOTION_VIDEO_STREAM,2.928119383591896,dcns_0
LowResTwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM_1,2.807682596606072,dcns_1
LowResTwoDCNSApps,Router_Proxy,10,m-0-3,MOTION_VIDEO_STREAM,2.928119383591896,dcns_0
TwoDCNSApps,Router_Cloud,4,cloud,PTZ_PARAMS_1,0.23367665334147722,dcns_1
TwoDCNSApps,Router_Cloud,5,proxy-server,MOTION_VIDEO_STREAM_1,128.63759999989736,dcns_1
TwoDCNSApps,Router_Cloud,5,proxy-server,PTZ_PARAMS_1,0.07780499999816015,dcns_1
TwoDCNSApps,Router_Cloud,5,proxy-server,DETECTED_OBJECT,6.656649999994668,dcns_0
TwoDCNSApps,Router_Cloud,6,d-0,MOTION_VIDEO_STREAM_1,134.17701818170713,dcns_1
TwoDCNSApps,Router_Cloud,6,d-0,PTZ_PARAMS_1,2.9781818181791095,dcns_1
TwoDCNSApps,Router_Cloud,6,d-0,PTZ_PARAMS,3.143636363633739,dcns_0
TwoDCNSApps,Router_Cloud,6,d-0,DETECTED_OBJECT,6.943299999994467,dcns_0
TwoDCNSApps,Router_Cloud,7,m-0-0,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Cloud,7,m-0-0,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Cloud,8,m-0-1,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Cloud,8,m-0-1,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Cloud,9,m-0-2,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Cloud,9,m-0-2,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
TwoDCNSApps,Router_Cloud,10,m-0-3,MOTION_VIDEO_STREAM_1,2.8736466909849203,dcns_1
TwoDCNSApps,Router_Cloud,10,m-0-3,MOTION_VIDEO_STREAM,2.997244398124036,dcns_0
